@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute wealth numeric
@attribute age numeric
@attribute region {A,E,M,O,U}

@data
0.011111,0.442105,E
0.172222,0.621053,E
0.108333,0.578947,A
0.055556,0.831579,M
0.019444,0.631579,A
0.036111,0.526316,U
0.013889,0.6,E
0.022222,0.421053,E
0.013889,0,E
0.055556,0.621053,E
0.022222,0.631579,A
0.019444,0.568421,U
0.019444,0.484211,A
0,0.568421,U
0.002778,0.821053,U
0.002778,0.473684,M
0.077778,0.747368,A
0.008333,0.642105,E
0.083333,0.347368,E
0.008333,0.8,U
0.027778,0.578947,U
0.008333,0.568421,M
0,0.557895,E
0.016667,0.578947,A
0.019444,0.736842,E
0.005556,?,E
0.005556,0.642105,A
0.05,0.473684,E
0.002778,0.484211,E
0,0.652632,A
0.072222,0.768421,A
0.097222,0.810526,O
0,0.757895,E
0.008333,0.757895,E
0.066667,0.494737,A
0.013889,0.684211,E
0.025,0.378947,E
0.008333,0.6,E
0.047222,0.589474,E
0.013889,?,A
0.080556,0.6,A
0.025,0.557895,E
0.027778,?,U
0.011111,0.421053,E
0.041667,0.694737,E
0.022222,0.642105,A
0.038889,0.673684,O
0,0.536842,O
0.136111,0.442105,U
0.011111,0.757895,O
0.083333,0.442105,A
0.005556,0.547368,A
0.011111,0.568421,E
0.083333,0.642105,E
0.027778,0.557895,E
0.044444,0.621053,U
0.019444,0.8,E
0.047222,0.652632,U
0.041667,0.705263,E
0.016667,0.494737,U
0,0.589474,U
0.055556,0.642105,E
0.002778,0.757895,E
0.011111,0.715789,E
0.055556,0.494737,U
0.008333,0.568421,U
0.036111,0.6,O
0.333333,0.621053,U
0.011111,0.694737,A
0.008333,0.8,E
0.011111,0.589474,E
0.102778,0.589474,U
0.005556,0.6,A
1,0.452632,M
0.013889,0.357895,E
0.022222,0.831579,U
0.025,0.431579,U
0.019444,0.536842,U
0.002778,0.536842,E
0,0.589474,U
0.011111,0.473684,A
0.105556,0.494737,U
0.016667,0.747368,A
0.011111,0.494737,O
0.019444,0.6,U
0,0.631579,O
0.002778,0.715789,U
0.027778,0.631579,U
0.027778,?,U
0.002778,0.663158,U
0.083333,0.8,E
0.05,0.410526,O
0.097222,0.936842,E
0.166667,0.652632,M
0.013889,0.4,U
0.027778,0.778947,M
0.005556,0.515789,U
0.027778,0.326316,U
0.030556,0.642105,U
0.1,0.663158,O
