@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute SubjectID numeric
@attribute ListID {List1,List2,List3,List4}
@attribute Hearing numeric

@data
0.695652,List1,34
0.086957,List4,22
0.608696,List4,32
0.086957,List3,20
0.913043,List3,18
0.217391,List4,30
0.391304,List3,38
0.608696,List1,28
0.043478,List1,24
0.26087,List4,22
0.826087,List2,22
0.565217,List4,34
0.913043,List4,14
0.521739,List3,36
1,List4,42
0.173913,List2,34
0.391304,List1,32
0.391304,List4,16
0.173913,List1,34
0.913043,List2,30
0.478261,List3,16
1,List2,44
0.130435,List3,14
0.434783,List3,30
0.478261,List1,38
0.826087,List1,18
0.782609,List3,38
0.695652,List2,34
0.26087,List3,20
0.695652,List4,20
0.130435,List1,30
1,List1,40
0.347826,List1,48
0.782609,List1,40
0.652174,List3,14
0.173913,List3,32
0.347826,List2,42
0.608696,List2,36
0.73913,List1,28
0.434783,List4,18
0,List1,28
0.956522,List2,20
0.086957,List2,38
0.086957,List1,32
0.043478,List4,24
0.304348,List4,28
0.391304,List2,36
0.217391,List1,30
0.956522,List1,36
0.130435,List4,18
0.478261,List4,34
0.347826,List4,30
0.26087,List1,36
0.217391,List2,30
0.434783,List1,32
0.043478,List3,32
0.869565,List4,14
0.347826,List3,26
0.782609,List4,40
0.521739,List1,32
0.26087,List2,30
0.73913,List4,20
0.73913,List3,14
0.565217,List1,40
0.521739,List2,28
0.869565,List2,20
0.478261,List2,36
0.956522,List3,22
0.304348,List1,32
0.652174,List4,18
0.869565,List1,20
0.826087,List3,20
0.565217,List2,38
0.521739,List4,32
0.695652,List3,26
0.173913,List4,24
0.869565,List3,14
0.782609,List2,34
0.652174,List2,28
0.652174,List1,48
0.304348,List3,26
0.608696,List3,38
0.217391,List3,22
0.130435,List2,20
0.565217,List3,32
0.73913,List2,16
0.913043,List1,26
0.826087,List4,26
0.043478,List2,16
0,List2,20
0,List4,26
0.304348,List2,28
0.434783,List2,32
1,List3,34
0,List3,24
0.956522,List4,30
