@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Flow numeric
@attribute Type numeric
@attribute Valve numeric
@attribute Pulse numeric

@data
0.222222,0.333333,0.285714,3
0.777778,0.666667,0.714286,5
0.333333,1,1,1
0.333333,0,0.142857,4
0.666667,1,0.857143,6
0.888889,1,1,4
0.444444,0,0,6
0.555556,0,0.142857,3
0.333333,0.333333,0.428571,5
0.222222,0,0.142857,2
0.555556,0,0.142857,5
0.777778,0.666667,0.571429,5
0.444444,0.666667,0.571429,1
0.444444,0,0.142857,6
0.222222,0.333333,0.428571,2
0.888889,1,0.857143,5
0.111111,0.333333,0.428571,3
0.666667,0.666667,0.714286,6
0.111111,0,0,4
0.333333,0,0,3
1,1,1,5
0,0,0,1
0.555556,0.333333,0.428571,6
0.555556,1,0.857143,1
0.444444,1,0.857143,3
0.222222,0.333333,0.285714,2
0.444444,0.666667,0.714286,3
0.333333,0.666667,0.714286,2
0.222222,1,1,2
0.777778,1,1,6
0.333333,0.666667,0.571429,3
0,0.333333,0.428571,1
0.666667,0.666667,0.571429,4
0.111111,0,0.142857,1
0.777778,1,0.857143,4
0.444444,0.333333,0.285714,6
0.333333,0.666667,0.571429,2
0.555556,0,0,5
0.222222,0,0,2
0.333333,0.333333,0.285714,4
0.888889,0.666667,0.714286,4
0.333333,1,0.857143,2
0.111111,0.333333,0.428571,4
0.666667,0.333333,0.285714,5
0.555556,0.666667,0.571429,6
0.222222,0.333333,0.285714,1
0.333333,0.666667,0.714286,1
0.333333,1,1,3
