@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Period numeric
@attribute Observed numeric
@attribute Gloves numeric
@attribute Experience numeric

@data
0.666667,0.5,0.571429,2
0.666667,?,?,6
0.333333,0.142857,0.214286,2
1,?,?,1
0,0.071429,0,15
1,0.071429,0,8
1,?,?,9
1,?,?,3
0,0.357143,0.071429,8
1,0,0.071429,8
0.666667,0.071429,0.142857,1
0,?,?,3
0.333333,0.5,0.571429,8
1,0,0.071429,14
1,?,?,8
0.333333,?,?,1
0.666667,0,0.071429,3
0,0.071429,0,10
0,0.142857,0,8
0.666667,0,0.071429,8
0.333333,0,0.071429,3
0.666667,0.714286,0.714286,2
0.666667,?,?,9
0,0.071429,0.071429,2
0.333333,0.071429,0.142857,3
0.333333,0.071429,0.142857,14
1,?,?,5
0.333333,?,?,6
0.333333,0,0.071429,6
0.666667,0,0.071429,15
0.666667,0.5,0.428571,8
1,0,0.071429,14
0.666667,?,?,3
0.333333,0.071429,0.142857,10
0.333333,0.857143,0.928571,3
0.666667,0.071429,0.071429,9
0.666667,?,?,15
0,0.785714,0,20
0.666667,0.071429,0.142857,10
0,?,?,8
0.666667,?,?,14
0.333333,?,?,5
0.666667,?,?,3
0.333333,?,?,14
0,0.285714,0.357143,3
0,?,?,14
1,0,0,6
0.333333,0.357143,0.357143,2
0,0.071429,0.071429,15
0.333333,0.142857,0.142857,15
0,0,0.071429,3
0,?,?,6
0.666667,0.071429,0.142857,8
0,0.142857,0,8
1,0.071429,0.071429,15
0.333333,0,0.071429,8
0.666667,0.142857,0.214286,20
0,0,0,15
0.666667,?,?,6
0.333333,0.428571,0.428571,15
1,1,1,3
1,?,?,9
0,?,?,3
1,?,?,6
0.666667,0.142857,0.214286,14
0.333333,0.214286,0.214286,8
0.666667,?,?,5
0.333333,0.142857,0.214286,15
1,0,0.071429,3
0,0.214286,0.285714,9
1,0.285714,0.357143,2
0,?,?,1
0.333333,0.071429,0.071429,3
1,0.142857,0,20
1,?,?,3
0.333333,0.071429,0.142857,20
1,0.571429,0.642857,2
1,?,?,15
0,0.214286,0,9
0,0.071429,0,2
0,0,0,14
0.666667,0.142857,0.142857,8
0.666667,0.5,0.5,3
1,?,?,15
1,0.285714,0.285714,10
0,0,0,5
0.666667,0,0.071429,15
0.333333,0.214286,0.285714,9
1,0.214286,0.142857,8
0.333333,0.214286,0.285714,9
0,?,?,6
0.333333,0,0.071429,8
