@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Subject numeric
@attribute Group {Basal,DRTA,Strat}
@attribute PRE1 numeric
@attribute PRE2 numeric
@attribute POST1 numeric
@attribute POST2 numeric
@attribute POST3 numeric

@data
0.676923,Strat,0.583333,0.5,0.714286,0.923077,53
0.692308,Strat,0.25,0.416667,0.214286,0.615385,47
0.323077,Basal,0.416667,0.416667,0.428571,0.615385,32
0.276923,Basal,0.583333,0.166667,0.214286,0.384615,36
0.461538,DRTA,0.75,0.5,0.785714,0.538462,48
0.753846,Strat,0.166667,0.333333,0.5,0.384615,45
0.953846,Strat,0.833333,0.25,1,0.538462,49
0.815385,Strat,0.416667,0.333333,0.428571,0.846154,42
0.230769,Basal,0.5,0.75,0.571429,0.769231,49
0.523077,DRTA,0.333333,0.25,0.642857,0.461538,57
0.446154,DRTA,0.333333,0.5,0.857143,0.384615,53
0.769231,Strat,0.583333,0.333333,0.785714,0.615385,50
0.492308,DRTA,0.25,0.416667,0.5,0.384615,55
0.646154,DRTA,0.333333,0.333333,0.5,0.615385,49
0.046154,Basal,0.666667,0.416667,0.5,0.384615,46
0.861538,Strat,0,0.416667,0,0.769231,34
0.307692,Basal,0.25,0.166667,0.285714,0.307692,54
0.876923,Strat,0.75,0.583333,0.857143,0.076923,48
0.892308,Strat,0.166667,0.25,0.428571,0.692308,51
0.6,DRTA,0.75,0.416667,0.642857,0.461538,41
0,Basal,0,0.166667,0.285714,0.307692,41
0.584615,DRTA,0.416667,0.333333,0.785714,0.461538,54
0.630769,DRTA,0.333333,0.416667,0.428571,0.615385,47
0.030769,Basal,0.416667,0.25,0.285714,0.230769,43
0.661538,DRTA,0.5,0.416667,0.785714,0.461538,49
0.538462,DRTA,0.416667,0.416667,0.5,0.461538,53
0.353846,DRTA,0.25,0.416667,0.285714,0.461538,40
0.092308,Basal,0.833333,0.583333,0.785714,0.384615,45
0.784615,Strat,0.833333,0.416667,0.928571,0.923077,48
0.015385,Basal,0.166667,0.333333,0.571429,0.384615,41
0.4,DRTA,1,0.583333,0.928571,0.538462,42
0.123077,Basal,0.666667,0.166667,0.5,0.538462,33
0.938462,Strat,0.583333,0.25,0.714286,0.538462,48
0.830769,Strat,0.666667,0.166667,0.285714,0.769231,38
0.384615,DRTA,0.5,0,0.285714,0.538462,30
0.615385,DRTA,0.5,0.083333,0.714286,0.461538,49
0.569231,DRTA,0.333333,0.25,0.642857,0.846154,50
0.984615,Strat,0.083333,0.166667,0.357143,0.615385,45
0.292308,Basal,0.333333,0.25,0.071429,0.230769,40
0.107692,Basal,0.666667,0.5,0.285714,0.384615,32
0.338462,DRTA,0.25,0.083333,0.428571,0.461538,31
0.430769,DRTA,0.416667,0.416667,0.642857,0.692308,49
0.476923,DRTA,0.666667,0.583333,0.714286,0.461538,43
0.169231,Basal,0.416667,0.083333,0.214286,0.307692,45
0.246154,Basal,0.333333,0.333333,0.142857,0.230769,40
0.923077,Strat,0.166667,0.416667,0.428571,0.692308,44
0.2,Basal,0.666667,0.083333,0.5,0.615385,44
0.369231,DRTA,0.666667,0.25,0.857143,0.230769,48
0.738462,Strat,0.25,0.416667,0.142857,0.692308,43
0.138462,Basal,0.333333,0.583333,0.428571,0.538462,39
0.907692,Strat,0.666667,0.166667,0.285714,1,33
0.261538,Basal,0.666667,0.333333,0.285714,0.384615,35
0.8,Strat,0.75,0.416667,0.785714,0.846154,49
0.553846,DRTA,0.416667,0.25,0.5,0.538462,37
1,Strat,0.333333,0.166667,0.214286,0.461538,42
0.076923,Basal,0.916667,1,0.571429,0.615385,45
0.153846,Basal,0.75,0.5,0.785714,0.307692,42
0.215385,Basal,0.666667,0.083333,0.357143,0.307692,36
0.846154,Strat,0.75,0.666667,0.571429,0.692308,42
0.415385,DRTA,0.916667,0.5,0.928571,0.461538,48
0.707692,Strat,0,0.416667,0.214286,0.769231,41
0.184615,Basal,0.666667,0.333333,0.214286,0.461538,39
0.969231,Strat,0.333333,0.083333,0.571429,0.384615,33
0.507692,DRTA,0.166667,0.083333,0.428571,0,55
0.723077,Strat,0.25,0.083333,0.214286,0.307692,49
0.061538,Basal,1,0.333333,0.642857,0.692308,46
