@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Order numeric
@attribute Block numeric
@attribute Height numeric
@attribute Frequency {0,1,2}
@attribute RestHR numeric
@attribute HR numeric

@data
0.241379,0.8,1,1,0.833333,129
0.172414,1,1,0,0.666667,99
0.827586,0.2,0,2,0.25,93
0.517241,0.2,0,0,0,75
0.137931,0,0,1,0.583333,96
0.482759,0.8,1,2,0.833333,147
0.965517,0.4,0,2,0.333333,99
0.931034,0.4,1,0,0.5,93
0.758621,0.6,1,2,0.916667,153
0.275862,1,0,1,0.416667,90
0.62069,0.2,1,2,0.25,135
0.793103,0.4,1,1,0.333333,99
0.448276,1,1,1,0.666667,90
0.034483,0,1,1,0.75,111
0.103448,0.8,0,2,0.416667,123
1,0.4,1,2,0.5,129
0.862069,0.4,0,1,0.25,93
0,0.8,0,0,0.75,93
0.344828,1,0,0,0.666667,84
0.068966,1,1,2,0.583333,120
0.896552,0.6,0,2,0.75,129
0.689655,0.2,1,0,0.25,108
0.37931,0.8,0,1,0.833333,108
0.551724,0.6,1,1,1,141
0.586207,0.2,0,1,0.083333,84
0.206897,0,1,0,0.666667,99
0.724138,0.6,0,0,0.833333,99
0.413793,0,0,2,0.5,96
0.655172,0.6,1,0,0.75,120
0.310345,0,0,0,0.5,87
