@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute QRAT numeric
@attribute STR numeric
@attribute AGE numeric
@attribute DENS numeric

@data
0.186992,0.223684,0.285714,529
0.235772,0.789474,0.428571,534
?,0.486842,0.714286,?
0.126016,0.526316,0.714286,?
?,0.526316,1,?
?,0.486842,0.714286,?
0.617886,0.394737,0.571429,530
0.099593,0.631579,0.428571,539
0.528455,0.986842,0.571429,575
?,0.421053,0.857143,?
?,0.486842,?,?
0.03252,0.921053,0.142857,488
0.099593,0.644737,0.142857,507
?,0.473684,?,?
0.73374,0.697368,0.428571,546
?,0.539474,0.857143,?
0.115854,0.447368,0.428571,534
0.075203,0.355263,0.285714,536
?,0.5,0.714286,?
?,0.328947,?,?
?,0.526316,?,?
?,0.421053,1,?
?,0.460526,1,?
0.154472,0.921053,0.714286,?
0.25,0.342105,0.428571,563
0.038618,0.723684,0,561
?,0.447368,?,?
?,0.473684,1,?
?,0.447368,1,?
?,0.394737,?,?
0.164634,0.644737,0.428571,562
0.109756,0.447368,0.571429,?
?,0.565789,0.857143,?
0.221545,0.539474,0.285714,553
?,0.486842,?,?
0.042683,0.315789,0.714286,?
?,0.460526,1,?
?,0.5,1,?
?,0.552632,0.857143,?
?,0.526316,0.857143,?
?,0.394737,?,?
0.109756,0.052632,0,550
0.197154,0.526316,0.428571,527
0.115854,0.460526,0.285714,565
?,0.473684,0.857143,?
0.359756,0.302632,0.142857,555
0.168699,0.486842,0.714286,?
?,0.513158,1,?
0.042683,0.552632,0.714286,?
0.085366,0.381579,0.571429,568
?,0.644737,0.714286,?
0.115854,0.592105,0.142857,526
?,0.355263,0.714286,?
0.628049,0.565789,0.571429,?
?,0.526316,0.714286,?
0.107724,0.381579,0.285714,558
0.268293,0.236842,0.571429,?
0.347561,0.986842,0.571429,?
?,0.684211,0.714286,?
0.04065,0.578947,0.714286,?
?,0.513158,1,?
?,0.526316,0.714286,?
?,0.302632,0.714286,?
0.093496,0.447368,0.428571,547
?,0.618421,0.857143,?
?,0.460526,0.857143,?
?,0,?,?
?,0.434211,0.857143,?
?,0.473684,0.714286,?
?,0.381579,0.857143,?
0.199187,0.289474,0.571429,585
?,0.644737,0.857143,?
0.105691,0.421053,0.714286,?
?,0.473684,1,?
0.22561,0.552632,0.571429,?
0,0.460526,0.571429,?
?,0.539474,0.857143,?
0.095528,0.513158,0.428571,510
?,0.5,?,?
0.105691,0.552632,0.714286,?
?,0.342105,0.857143,?
1,0.592105,0.714286,?
?,0.5,1,?
0.058943,0.434211,0.428571,542
0.47561,0.210526,0.428571,544
0.121951,0.5,0.571429,?
?,0.552632,0.714286,?
0.174797,0.289474,0.714286,?
?,0.460526,0.714286,?
0.079268,0.394737,0.714286,?
?,0.473684,0.714286,?
?,0.434211,0.714286,?
?,0.473684,?,?
?,0.381579,0.857143,?
0.109756,1,0.285714,557
0.083333,0.513158,0.714286,?
0.302846,0.552632,0.714286,?
0.063008,0.552632,0.714286,?
0.152439,0.315789,0.428571,529
0.152439,0.407895,0.428571,579
