@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute BED numeric
@attribute MCDAYS numeric
@attribute TDAYS numeric
@attribute PCREV numeric
@attribute NSAL numeric
@attribute FEXP numeric
@attribute RURAL numeric

@data
0.43379,0.5,0.445887,0.57412,0.808902,0.948136,0
0.251142,0.457082,0.290043,0.308536,0.464119,0.156384,1
0.16895,0.270386,0.152958,0.157614,0.137881,0.170024,1
0.43379,0.39485,0.365079,0.426543,0.538945,0.122125,0
0,0.055794,0,0.036924,0.11611,0.696907,1
0.502283,0.233906,0.559885,0.645678,0.999355,0.191435,0
0.378995,0.444206,0.408369,0.439866,0.749073,0.452022,1
0.43379,0.622318,0.421356,0.560646,0.640058,0.803965,1
0.43379,0.484979,0.494949,0.5466,0.125464,0.511182,1
0.13242,0.152361,0.088023,0.141759,0.129011,0.017129,1
0.43379,0.362661,0.352092,0.522335,0.507015,0.973354,0
0.351598,0.596567,0.392496,0.351037,0.415739,0.455036,1
0.43379,0.521459,0.484848,0.587804,0.855023,0.984774,0
0.159817,0.10515,0.18759,0.181426,0.100951,0.243933,1
0.242009,0.227468,0.17316,0.195141,0.384454,0.175258,1
1,0.171674,0.435786,0.62298,0.635704,0.824266,0
0.16895,0.2103,0.174603,0.183808,0.174004,0.147026,0
0.388128,0.27897,0.284271,0.452978,0.626512,0.880095,1
0.16895,0.214592,0.157287,0.18215,0.180777,0.174306,0
0.447489,0.343348,0.365079,0.593863,0.769392,0.993656,1
0.342466,0.334764,0.339105,0.465879,0.462506,0.705472,1
0.155251,0.229614,0.17316,0.190107,0.188841,0.056463,1
0.155251,0.154506,0.116883,0.127562,0.102725,0.181285,1
0.16895,0.206009,0.197691,0.099801,0.240929,0.043458,1
0.324201,0.229614,0.124098,0.179618,0.107563,0.178113,0
0.43379,0.553648,0.417027,0.581565,0.502822,0.770975,1
0.155251,0.246781,0.155844,0.198065,0.123045,0.25678,1
0.109589,0.133047,0.135642,0.16108,0.245444,0.592704,1
0.43379,0.182403,0.151515,0.267543,0.312208,1,1
0.150685,0.253219,0.176046,0.227845,0.15433,0.156225,1
0.159817,0,0.18759,0.234838,0.247057,0.161301,0
0.251142,0.062232,0.07215,0.148812,0.112885,0.68295,1
0.178082,0.092275,0.189033,0.178714,0.55491,0.683426,1
0.552511,0.111588,0.421356,0.557059,0.898081,0.168279,0
0.278539,0.030043,0.168831,0.254973,0.392195,0.447581,1
0.159817,0.103004,0.171717,0.289999,0.40558,0.314988,0
0.388128,0.386266,0.34632,0.416204,0.442025,0.595718,1
0.894977,1,1,1,0,0.381602,1
0.182648,0.283262,0.217893,0.231432,0.376391,0.049485,1
0.43379,0.407725,0.40404,0.439113,0.656991,0.965583,0
0.342466,0.444206,0.313131,0.442458,0.364296,0.384457,1
0.246575,0.354077,0.281385,0.265131,0.260764,0.181126,0
0.296804,0.22103,0.292929,0,0.542332,0.643933,0
0.502283,0.575107,0.518038,0.632264,1,0.509754,0
0.26484,0.377682,0.443001,0.286623,0.436542,0.21364,1
0.086758,0.169528,0.108225,0.150621,0.033866,0.180174,1
0.16895,0.2897,0.200577,0.287949,0.241251,0.329104,1
0.022831,0.012876,0.007215,0.033006,0.280116,0,1
0.415525,0.227468,0.343434,0.446166,0.751169,0.649326,0
0.43379,0.343348,0.49062,0.789185,0.797936,0.537193,0
0.260274,0.141631,0.076479,0.168978,0.114014,0.281364,1
0.296804,0.356223,0.320346,0.336749,0.465248,0.131483,1
