@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute BP numeric
@attribute T1 numeric
@attribute GATE numeric
@attribute T2 numeric
@attribute TALK numeric
@attribute T3 numeric
@attribute BURG numeric
@attribute T4 numeric

@data
0.625,1,?,?,0.047619,1,0.027397,0
0.5,1,?,?,0,1,0.041096,0
?,?,?,?,?,?,0.356164,1
0.5,1,?,?,0.095238,1,0.287671,0
?,?,?,?,?,?,0,1
0.916667,0,0.287582,0,0.809524,0,1,0
?,?,?,?,?,?,0.287671,1
0.916667,0,0.211018,0,0.761905,0,0.123288,0
?,?,?,?,?,?,0.342466,1
?,?,?,?,?,?,0.643836,1
0.5,1,?,?,0.190476,1,0.273973,0
0.25,1,0.15873,1,0.857143,0,0.60274,0
?,?,?,?,?,?,0.726027,1
0.916667,1,0.770308,1,0.809524,0,0.342466,0
0.416667,1,?,?,0.095238,1,0.123288,0
?,?,?,?,?,?,0.205479,1
0.833333,0,0.182073,0,0.761905,0,0.260274,0
0.416667,0,0.071895,0,0.857143,0,0.342466,0
0.583333,1,?,?,0.190476,1,0.356164,0
0.5,0,0.55929,0,0.857143,0,0.027397,0
0.5,1,0.348273,1,0.857143,0,0.39726,0
0.75,1,?,?,0.333333,1,0.30137,0
0.666667,1,?,?,?,?,0.917808,0
0,1,0.42577,1,0.761905,0,0.506849,0
0.458333,1,?,?,0.190476,1,0.068493,0
0.583333,1,?,?,0.142857,1,0.315068,0
0.833333,0,0.370682,0,0.904762,0,0.328767,0
0.5,1,?,?,0.190476,1,0.575342,0
?,?,?,?,?,?,0.123288,1
0.166667,1,?,?,0.095238,1,0.780822,0
?,?,?,?,?,?,0.479452,1
?,?,?,?,?,?,0.123288,1
0.583333,1,?,?,0.095238,1,0.547945,0
0.916667,1,0.197946,1,0.571429,0,0.369863,0
0.583333,0,0.326797,0,0.952381,0,0.739726,0
?,?,?,?,?,?,0.452055,1
0.583333,1,?,?,0.095238,1,0.465753,0
0.833333,1,1,1,0.47619,1,0.30137,0
0.916667,1,0.446312,1,0.952381,0,0.164384,0
0.5,1,0,1,0.761905,0,0.506849,0
?,?,?,?,?,?,0.767123,1
?,?,?,?,?,?,0.493151,1
1,0,0.430439,0,1,0,0.643836,0
0.416667,1,0.301587,1,0.904762,0,0.712329,0
?,?,?,?,?,?,0.260274,1
0.583333,1,?,?,0,1,0.452055,0
0.583333,1,?,?,0.095238,1,0.232877,0
0.833333,0,0.042951,0,0.857143,0,0.356164,0
0.833333,0,0.35014,0,0.857143,0,0.465753,0
0.666667,1,?,?,0.190476,1,0.369863,0
?,?,?,?,?,?,0.178082,1
?,?,?,?,?,?,0.342466,1
0.75,1,?,?,0.095238,1,0.328767,0
0.5,1,0.596639,1,0.761905,0,0.205479,0
0.666667,1,0.378151,1,0.666667,0,0.589041,0
?,?,?,?,?,?,0.191781,1
0.416667,1,?,?,0,1,0.520548,0
0.416667,1,?,?,0.095238,1,0.493151,0
